Date	Latitude	Longitude	Type
01/22/2019 11:45:00 AM	41.75653663	-87.617694686	WEAPONS VIOLATION
01/17/2019 09:00:00 PM	41.925555801	-87.642362224	THEFT
01/08/2019 04:15:00 PM	41.872274452	-87.764581664	BATTERY
01/28/2019 06:25:00 PM	41.871338069	-87.725362645	MOTOR VEHICLE THEFT
01/07/2019 03:00:00 PM	41.909160051	-87.633464899	THEFT
01/11/2019 03:00:00 PM	41.920801075	-87.655887629	THEFT
01/22/2019 10:00:00 AM	41.866758579	-87.625813935	DECEPTIVE PRACTICE
01/15/2019 12:00:00 PM	41.904462488	-87.648118305	THEFT
01/15/2019 12:30:00 PM	41.896472326	-87.643252484	THEFT
01/10/2019 12:15:00 AM	41.891620575	-87.63148948	THEFT
01/14/2019 04:00:00 PM	1165496.0	1872603.0	ASSAULT
01/18/2019 04:12:00 PM	41.713738773	-87.626062536	OTHER OFFENSE
01/16/2019 10:21:00 AM	41.903762161	-87.640253602	THEFT
01/12/2019 11:30:00 AM	41.910835515	-87.653351515	THEFT
01/11/2019 03:27:00 PM	41.829750417	-87.685017033	ASSAULT
01/16/2019 09:00:00 AM	41.708266935	-87.663210549	OTHER OFFENSE
01/13/2019 06:40:00 PM	41.706397783	-87.555975609	ROBBERY
01/15/2019 01:25:00 PM	1171278.0	1913694.0	THEFT
01/15/2019 08:00:00 AM	41.918578314	-87.636183854	THEFT
01/12/2019 02:35:00 PM	41.907926167	-87.64819515	THEFT
01/28/2019 10:34:39 AM	41.877140857	-87.721499862	NARCOTICS
01/15/2019 07:00:00 PM	41.688158594	-87.631384193	CRIMINAL DAMAGE
01/13/2019 02:00:00 PM	41.918578314	-87.636183854	THEFT
01/24/2019 12:00:00 PM	41.703773605	-87.525645351	DECEPTIVE PRACTICE
01/25/2019 05:00:00 PM	41.801972702	-87.690362114	CRIMINAL DAMAGE
01/29/2019 01:10:00 AM	41.754473622	-87.562648619	BATTERY
01/27/2019 05:14:00 PM	41.775988614	-87.774624211	STALKING
01/30/2019 12:01:00 AM	41.730982992	-87.617029522	OTHER OFFENSE
01/06/2019 10:00:00 PM	41.782806351	-87.690318973	CRIM SEXUAL ASSAULT
01/13/2019 07:30:00 PM	41.965925388	-87.66687471	CRIMINAL TRESPASS
01/11/2019 01:18:00 PM	41.882092063	-87.625593389	DECEPTIVE PRACTICE
01/12/2019 02:50:00 PM	41.8924816	-87.627351831	THEFT
01/14/2019 04:50:00 AM	41.896685066	-87.627683859	ASSAULT
01/14/2019 11:05:00 AM	41.909462799	-87.758733656	OTHER OFFENSE
01/01/2019 12:00:00 PM	41.753567662	-87.564645811	THEFT
01/15/2019 11:07:00 PM	41.709548053	-87.644105331	CRIMINAL DAMAGE
01/12/2019 01:03:00 AM	41.779975054	-87.630937377	BATTERY
01/13/2019 09:40:00 AM	41.903478069	-87.631433102	THEFT
01/16/2019 11:30:00 PM	41.736458248	-87.585638764	BATTERY
01/14/2019 04:50:00 PM	42.001822361	-87.689987495	BATTERY
01/12/2019 10:46:00 PM	41.890389293	-87.619610833	BATTERY
01/15/2019 10:45:00 AM	41.883164818	-87.644508395	THEFT
01/14/2019 11:30:00 PM	41.726935009	-87.594900239	THEFT
01/15/2019 02:12:00 PM	41.793004741	-87.670627321	NARCOTICS
01/13/2019 10:25:00 AM	41.770139955	-87.623419798	WEAPONS VIOLATION
01/16/2019 03:21:00 AM	41.877772949	-87.720641937	NARCOTICS
01/16/2019 09:00:00 PM	41.750794483	-87.633560686	THEFT
01/16/2019 07:46:00 PM	41.656469322	-87.614891712	OTHER OFFENSE
01/11/2019 03:00:00 PM	41.775903255	-87.610700744	THEFT
01/14/2019 03:15:00 PM	41.915990756	-87.687370839	THEFT
01/15/2019 09:30:00 AM	41.860005552	-87.71889534	BATTERY
01/15/2019 10:00:00 AM	41.812607444	-87.622925375	DECEPTIVE PRACTICE
01/12/2019 09:00:00 AM	41.766620914	-87.637182633	ROBBERY
01/15/2019 11:12:00 AM	41.68902876	-87.664552538	CRIMINAL DAMAGE
01/14/2019 07:50:00 AM	41.824675709	-87.617013434	THEFT
01/16/2019 03:04:00 PM	41.853622744	-87.625514585	BATTERY
01/12/2019 11:06:00 AM	41.757485413	-87.586109433	DECEPTIVE PRACTICE
01/14/2019 10:00:00 AM	41.940517817	-87.655340819	BURGLARY
01/14/2019 11:45:00 AM	41.968585685	-87.692134876	THEFT
01/13/2019 10:37:00 AM	41.762687635	-87.644350659	PROSTITUTION
01/12/2019 01:25:00 PM	41.863744423	-87.729990498	BATTERY
01/14/2019 12:30:00 PM	41.775718064	-87.672942665	ASSAULT
01/14/2019 01:00:00 AM	41.979833222	-87.712430263	WEAPONS VIOLATION
01/14/2019 02:40:00 PM	41.970992597	-87.687771513	MOTOR VEHICLE THEFT
01/16/2019 10:00:00 AM	41.86431068	-87.658176719	BURGLARY
01/13/2019 02:05:00 AM	41.775360809	-87.647103931	BATTERY
01/13/2019 11:15:00 AM	41.773746927	-87.68680577	THEFT
01/07/2019 12:30:00 PM	41.737990843	-87.574530136	DECEPTIVE PRACTICE
01/15/2019 08:40:00 AM	41.709802487	-87.638052363	BATTERY
01/13/2019 03:00:00 PM	41.660231074	-87.646186779	CRIMINAL TRESPASS
01/16/2019 10:15:00 PM	41.751679858	-87.658621689	NARCOTICS
01/12/2019 10:49:00 PM	41.780279562	-87.695862137	ARSON
01/14/2019 10:51:00 AM	41.727138424	-87.571826079	ASSAULT
01/15/2019 08:00:00 PM	41.868573309	-87.660184197	THEFT
01/03/2019 11:23:00 PM	41.843934905	-87.708673962	NARCOTICS
01/02/2019 08:00:00 AM	41.703544122	-87.525402868	OTHER OFFENSE
01/01/2019 11:33:00 PM	41.929487555	-87.67877134	WEAPONS VIOLATION
01/02/2019 09:00:00 PM	41.73235531	-87.656438918	ASSAULT
01/02/2019 05:20:00 PM	41.924416977	-87.654791085	NARCOTICS
01/02/2019 08:31:00 PM	41.794345127	-87.706027593	NARCOTICS
